time, esti_x, esti_y, esti_z, esti_q_x, esti_q_y, esti_q_z, esti_q_w,             time, gt_x, gt_y, gt_z, gt_q_x, gt_q_y, gt_q_z, gt_q_w
4.299998282,2.197148620198082,0.5767676675082378,0.219217817273927,-0.0025741373918110357,0.03163912486275592,0.007141268244965826,0.9994705307723988,4.299998282,-0.21957,0.625243,0.453991,-0.007003643463926262,-0.009161314531087022,-6.416683173622054e-05,0.999933505443465
4.299998282,2.197148620198082,0.5767676675082378,0.219217817273927,-0.0025741373918110357,0.03163912486275592,0.007141268244965826,0.9994705307723988,4.299998282,-0.21957,0.625243,0.453991,-0.007003643463926262,-0.009161314531087022,-6.416683173622054e-05,0.999933505443465
4.299998282,2.197148620198082,0.5767676675082378,0.219217817273927,-0.0025741373918110357,0.03163912486275592,0.007141268244965826,0.9994705307723988,4.299998282,-0.21957,0.625243,0.453991,-0.007003643463926262,-0.009161314531087022,-6.416683173622054e-05,0.999933505443465
4.299998282,2.197148620198082,0.5767676675082378,0.219217817273927,-0.0025741373918110357,0.03163912486275592,0.007141268244965826,0.9994705307723988,4.299998282,-0.21957,0.625243,0.453991,-0.007003643463926262,-0.009161314531087022,-6.416683173622054e-05,0.999933505443465
4.349998474,2.285252843267537,0.5790859431679213,0.2866379355241328,-0.0022917925838452495,0.03193740395111622,0.007217061545351233,0.9994611868093061,4.349998474,-0.224504,0.631353,0.522499,-0.006772197619450335,-0.009350176713244167,-6.332547773995191e-05,0.9999333514944927
4.349998474,2.285252843267537,0.5790859431679213,0.2866379355241328,-0.0022917925838452495,0.03193740395111622,0.007217061545351233,0.9994611868093061,4.349998474,-0.224504,0.631353,0.522499,-0.006772197619450335,-0.009350176713244167,-6.332547773995191e-05,0.9999333514944927
4.349998474,2.285252843267537,0.5790859431679213,0.2866379355241328,-0.0022917925838452495,0.03193740395111622,0.007217061545351233,0.9994611868093061,4.349998474,-0.224504,0.631353,0.522499,-0.006772197619450335,-0.009350176713244167,-6.332547773995191e-05,0.9999333514944927
4.349998474,2.285252843267537,0.5790859431679213,0.2866379355241328,-0.0022917925838452495,0.03193740395111622,0.007217061545351233,0.9994611868093061,4.349998474,-0.224504,0.631353,0.522499,-0.006772197619450335,-0.009350176713244167,-6.332547773995191e-05,0.9999333514944927
4.349998474,2.285252843267537,0.5790859431679213,0.2866379355241328,-0.0022917925838452495,0.03193740395111622,0.007217061545351233,0.9994611868093061,4.349998474,-0.224504,0.631353,0.522499,-0.006772197619450335,-0.009350176713244167,-6.332547773995191e-05,0.9999333514944927
4.349998474,2.285252843267537,0.5790859431679213,0.2866379355241328,-0.0022917925838452495,0.03193740395111622,0.007217061545351233,0.9994611868093061,4.349998474,-0.224504,0.631353,0.522499,-0.006772197619450335,-0.009350176713244167,-6.332547773995191e-05,0.9999333514944927
4.349998474,2.285252843267537,0.5790859431679213,0.2866379355241328,-0.0022917925838452495,0.03193740395111622,0.007217061545351233,0.9994611868093061,4.349998474,-0.224504,0.631353,0.522499,-0.006772197619450335,-0.009350176713244167,-6.332547773995191e-05,0.9999333514944927
4.349998474,2.285252843267537,0.5790859431679213,0.2866379355241328,-0.0022917925838452495,0.03193740395111622,0.007217061545351233,0.9994611868093061,4.349998474,-0.224504,0.631353,0.522499,-0.006772197619450335,-0.009350176713244167,-6.332547773995191e-05,0.9999333514944927
4.349998474,2.285252843267537,0.5790859431679213,0.2866379355241328,-0.0022917925838452495,0.03193740395111622,0.007217061545351233,0.9994611868093061,4.349998474,-0.224504,0.631353,0.522499,-0.006772197619450335,-0.009350176713244167,-6.332547773995191e-05,0.9999333514944927
4.349998474,2.285252843267537,0.5790859431679213,0.2866379355241328,-0.0022917925838452495,0.03193740395111622,0.007217061545351233,0.9994611868093061,4.349998474,-0.224504,0.631353,0.522499,-0.006772197619450335,-0.009350176713244167,-6.332547773995191e-05,0.9999333514944927
